File,Decks,Gen Time,Write Time,Read Time,Size (MB)
decks_0170.txt,"10,000",508.3 ms,9.8 ms,5.5 ms,0.51
decks_0171.txt,"10,000",516.4 ms,18.5 ms,5.1 ms,0.51
decks_0172.txt,"10,000",450.7 ms,9.2 ms,9.8 ms,0.51
decks_0173.txt,"10,000",530.5 ms,19.2 ms,9.8 ms,0.51
decks_0174.txt,"10,000",513.3 ms,20.6 ms,5.8 ms,0.51
decks_0175.txt,"10,000",480.1 ms,10.9 ms,8.7 ms,0.51
decks_0176.txt,"10,000",521.4 ms,15.9 ms,7.3 ms,0.51
decks_0177.txt,"10,000",545.4 ms,18.6 ms,9.2 ms,0.51
decks_0178.txt,"10,000",529.7 ms,22.6 ms,10.1 ms,0.51
decks_0179.txt,"10,000",519.2 ms,17.7 ms,8.9 ms,0.51
decks_0180.txt,"10,000",547.2 ms,19.7 ms,10.8 ms,0.51
decks_0181.txt,"10,000",514.0 ms,19.5 ms,10.0 ms,0.51
decks_0182.txt,"10,000",537.9 ms,18.0 ms,8.3 ms,0.51
decks_0183.txt,"10,000",527.5 ms,18.7 ms,8.6 ms,0.51
decks_0184.txt,"10,000",517.8 ms,23.7 ms,9.3 ms,0.51
decks_0185.txt,"10,000",516.0 ms,19.2 ms,8.6 ms,0.51
decks_0186.txt,"10,000",516.1 ms,21.4 ms,10.5 ms,0.51
decks_0187.txt,"10,000",514.7 ms,18.8 ms,8.6 ms,0.51
decks_0188.txt,"10,000",518.9 ms,18.0 ms,8.6 ms,0.51
decks_0189.txt,"10,000",517.4 ms,20.7 ms,10.7 ms,0.51
decks_0190.txt,"10,000",515.5 ms,14.8 ms,10.1 ms,0.51
decks_0191.txt,"10,000",515.4 ms,19.8 ms,9.2 ms,0.51
decks_0192.txt,"10,000",507.7 ms,18.2 ms,9.0 ms,0.51
decks_0193.txt,"10,000",515.4 ms,19.7 ms,10.3 ms,0.51
decks_0194.txt,"10,000",517.3 ms,22.1 ms,9.0 ms,0.51
decks_0195.txt,"10,000",528.6 ms,20.2 ms,9.7 ms,0.51
decks_0196.txt,"10,000",514.4 ms,20.9 ms,11.0 ms,0.51
decks_0197.txt,"10,000",516.8 ms,18.1 ms,8.4 ms,0.51
decks_0198.txt,"10,000",518.5 ms,21.4 ms,9.5 ms,0.51
decks_0199.txt,"10,000",519.8 ms,18.2 ms,9.4 ms,0.51
